"","title","response","domestic","domestic2","foreign","foreign2"
"152","High-Rise","$346k","$346k","100.0%","n/a","0.0%"
"153","Te3n","$332k","$332k","100.0%","n/a","0.0%"
"154","Francofonia","$307k","$307k","100.0%","n/a","0.0%"
"155","April and the Extraordinary World","$295k","$295k","100.0%","n/a","0.0%"
"156","My Golden Days","$269k","$269k","100.0%","n/a","0.0%"
"157","The Family Fang","$263k","$263k","100.0%","n/a","0.0%"
"158","Dheepan","$248k","$248k","100.0%","n/a","0.0%"
"159","Our Little Sister","$233k","$233k","100.0%","n/a","0.0%"
"160","The Invitation","$232k","$232k","100.0%","n/a","0.0%"
"161","Kaptaan","$204k","$204k","100.0%","n/a","0.0%"
"162","Viva","$178k","$178k","100.0%","n/a","0.0%"
"163","The Wave","$177k","$177k","100.0%","n/a","0.0%"
"164","Louder than Bombs","$164k","$164k","100.0%","n/a","0.0%"
"165","Sunset Song","$157k","$157k","100.0%","n/a","0.0%"
"166","Born to be Blue","$152k","$152k","100.0%","n/a","0.0%"
"167","Rams","$149k","$149k","100.0%","n/a","0.0%"
"168","League of Gods","$143k","$143k","100.0%","n/a","0.0%"
"169","Tumbledown","$135k","$135k","100.0%","n/a","0.0%"
"170","Spirits' Homecoming","$126k","$126k","100.0%","n/a","0.0%"
"171","A War","$123k","$123k","100.0%","n/a","0.0%"
"172","Hockney","$121k","$121k","100.0%","n/a","0.0%"
"173","Three","$120k","$120k","100.0%","n/a","0.0%"
"174","The Measure of a Man","$112k","$112k","100.0%","n/a","0.0%"
"175","Aferim!","$105k","$105k","100.0%","n/a","0.0%"
"176","Tale of Tales","$102k","$102k","100.0%","n/a","0.0%"
"177","Our Last Tango","$100k","$100k","100.0%","n/a","0.0%"
"178","Seondal: The Man Who Sells the River","$97.5k","$97.5k","100.0%","n/a","0.0%"
"179","So Young 2: Never Gone","$96.4k","$96.4k","100.0%","n/a","0.0%"
"180","New York, New York (2016)","$92.4k","$92.4k","100.0%","n/a","0.0%"
"181","No One's Life Is Easy: So I Married an Anti-Fan","$89.3k","$89.3k","100.0%","n/a","0.0%"
"182","Sweet Bean","$84.0k","$84.0k","100.0%","n/a","0.0%"
"183","Mountains May Depart","$82.9k","$82.9k","100.0%","n/a","0.0%"
"184","Fireworks Wednesday","$81.9k","$81.9k","100.0%","n/a","0.0%"
"185","Les cowboys","$80.8k","$80.8k","100.0%","n/a","0.0%"
"186","Saala Khadoos","$76.9k","$76.9k","100.0%","n/a","0.0%"
"187","Sweet 20","$71.8k","$71.8k","100.0%","n/a","0.0%"
"188","My Love, Don't Cross that River","$67.8k","$67.8k","100.0%","n/a","0.0%"
"189","The Dark Horse","$67.5k","$67.5k","100.0%","n/a","0.0%"
"190","Phantom Detective","$67.1k","$67.1k","100.0%","n/a","0.0%"
"191","Ran (2016 re-issue)","$66.1k","$66.1k","100.0%","n/a","0.0%"
"192","Microbe & Gasoline","$60.9k","$60.9k","100.0%","n/a","0.0%"
"193","Time Renegades","$59.4k","$59.4k","100.0%","n/a","0.0%"
"194","DONGJU: The Portrait of a Poet","$56.2k","$56.2k","100.0%","n/a","0.0%"
"195","L'attesa","$55.8k","$55.8k","100.0%","n/a","0.0%"
"196","Clown","$55.0k","$55.0k","100.0%","n/a","0.0%"
"197","Diary of a Chambermaid","$54.2k","$54.2k","100.0%","n/a","0.0%"
"198","High Strung (2016)","$53.4k","$53.4k","100.0%","n/a","0.0%"
"199","The Club","$52.8k","$52.8k","100.0%","n/a","0.0%"
"200","The Last Man on the Moon","$52.5k","$52.5k","100.0%","n/a","0.0%"
"201","Cemetery of Splendor","$52.0k","$52.0k","100.0%","n/a","0.0%"
"202","Like for Likes","$50.8k","$50.8k","100.0%","n/a","0.0%"
"203","In the Shadow of Women","$50.3k","$50.3k","100.0%","n/a","0.0%"
"204","Pele: Birth of a Legend","$50.0k","$50.0k","100.0%","n/a","0.0%"
"205","The Treasure","$48.5k","$48.5k","100.0%","n/a","0.0%"
"206","A Melody to Remember","$44.3k","$44.3k","100.0%","n/a","0.0%"
"207","Phantom of the Theatre","$44.0k","$44.0k","100.0%","n/a","0.0%"
"208","Mastizaade","$43.4k","$43.4k","100.0%","n/a","0.0%"
"209","Troublemakers: The Story of Land Art","$38.6k","$29.5k","76.4%","$9.1k","23.6%"
"210","Songs My Brothers Taught Me","$34.8k","$34.8k","100.0%","n/a","0.0%"
"211","Mr. Right","$34.7k","$34.7k","100.0%","n/a","0.0%"
"212","Eisenstein in Guanajuato","$34.3k","$34.3k","100.0%","n/a","0.0%"
"213","Rio, I Love You","$32.0k","$32.0k","100.0%","n/a","0.0%"
"214","Operation Chromite","$31.7k","$31.7k","100.0%","n/a","0.0%"
"215","Summertime (2016)","$30.4k","$30.4k","100.0%","n/a","0.0%"
"216","For a Few Bullets","$30.1k","$30.1k","100.0%","n/a","0.0%"
"217","From Afar","$29.9k","$29.9k","100.0%","n/a","0.0%"
"218","Valley of Love","$28.6k","$28.6k","100.0%","n/a","0.0%"
"219","Blackway","$27.1k","$27.1k","100.0%","n/a","0.0%"
"220","Last Cab to Darwin","$26.9k","$26.9k","100.0%","n/a","0.0%"
"221","Anesthesia","$26.8k","$26.8k","100.0%","n/a","0.0%"
"222","Neon Bull","$26.7k","$26.7k","100.0%","n/a","0.0%"
